name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,us_local_price,big_mac_ex,over_under_value
Indonesia,IDN,IDR,16100.0,8740.0,834.139,8558977.96,2003-04-01,2.46,6544.715447154472,-0.2511767222935387
Japan,JPN,JPY,262.0,120.0,34410.68,4181893.67,2003-04-01,2.46,106.5040650406504,-0.11246612466124664
South Korea,KOR,KRW,3300.0,1220.0,11563.04,14925456.03,2003-04-01,2.46,1341.4634146341464,0.09956017592962818
Mexico,MEX,MXN,23.0,10.53,7952.17,74292.85,2003-04-01,2.46,9.34959349593496,-0.11209938310209307
Malaysia,MYS,MYR,5.04,3.8,4189.05,15918.4,2003-04-01,2.46,2.048780487804878,-0.46084724005134786
New Zealand,NZL,NZD,3.95,1.78,13669.13,32495.43,2003-04-01,2.46,1.6056910569105691,-0.0979263725221522
Peru,PER,PEN,7.9,3.46,1935.55,6787.96,2003-04-01,2.46,3.2113821138211383,-0.07185488039851495
Philippines,PHL,PHP,65.0,52.5,1003.96,51194.49,2003-04-01,2.46,26.422764227642276,-0.4967092528068138
Poland,POL,PLN,6.3,3.89,4987.86,20418.8,2003-04-01,2.46,2.5609756097560976,-0.34165151420151735
Russia,RUS,RUB,41.0,31.1,2255.25,65792.01,2003-04-01,2.46,16.666666666666668,-0.4640943193997856
Singapore,SGP,SGD,3.3,1.78,21699.75,38879.93,2003-04-01,2.46,1.3414634146341462,-0.24636886818306394
Sweden,SWE,SEK,30.0,8.34,27207.49,281029.86,2003-04-01,2.46,12.195121951219512,0.46224483827572094
Thailand,THA,THB,59.0,42.7,1893.26,84121.33,2003-04-01,2.46,23.983739837398375,-0.43831991013118565
Turkey,TUR,TRY,3750000.0,1600500.0,3082.9,3769.12,2003-04-01,2.46,1524390.243902439,-0.04755373701815744
Taiwan,TWN,TWD,70.0,34.8,13357.2,451647.96,2003-04-01,2.46,28.45528455284553,-0.18231940940099045
United States,USA,USD,2.46,1.0,37101.45,37101.45,2003-04-01,2.46,1.0,0.0
Venezuela,VEN,VEF,3700.0,1598.0,4963.92,,2003-04-01,2.46,1504.0650406504064,-0.058782828128656796
